iter	RMSE
0	24234311.87
1	24147452.46
2	24101521.77
3	24055192
4	24009861.81
5	23964609.18
6	23920133.92
7	23875447.71
8	23830804.41
9	23787471.81
10	23743280.7
11	23700066.46
12	23656317.29
13	23612709.25
14	23568681.95
15	23525458.24
16	23446618.8
17	23405227.11
18	23302538.77
19	23256352.58
20	23213983.67
21	23173270.94
22	23131118.67
23	23086047.23
24	23044224.12
25	23003969.84
26	22962975.96
27	22920529.31
28	22879947.67
29	22839225.2
30	22798287.18
31	22757495.6
32	22716880.4
33	22677628.19
34	22637885.68
35	22595559.32
36	22555443.78
37	22483175.14
38	22391157.3
39	22351444.45
40	22311851.19
41	22272334.97
42	22233010.36
43	22193129.83
44	22155205.46
45	22113215.3
46	22075637.09
47	22036940.53
48	21999534.36
49	21927862.91
50	21890730.18
51	21851781.44
52	21813642.38
53	21773937.68
54	21736102.72
55	21697343.93
56	21659731.96
57	21622260.35
58	21584902.88
59	21548786.19
60	21510876.44
61	21472899.29
62	21391297.61
63	21352638.95
64	21312193.67
65	21274746.73
66	21235872.46
67	21200526.09
68	21162351.46
69	21123732.42
70	21085056.86
71	21049086.38
72	21013523.1
73	20972055.71
74	20936474.18
75	20899122.22
76	20864280.15
77	20826255.2
78	20787058.73
79	20752111.56
80	20716598.3
81	20681798.13
82	20646286.16
83	20596077.79
84	20558908.18
85	20520751.4
86	20432560.76
87	20367699.21
88	20333119.72
89	20238997.85
90	20157198.14
91	20123469.83
92	20054708.17
93	20004394.4
94	19971067.57
95	19935983.19
96	19899079.88
97	19819252.36
98	19780003.66
99	19738677.46
100	19703354.44
101	19669800.14
102	19633936.76
103	19601315.25
104	19567764.19
105	19535364.26
106	19503051.82
107	19458380.34
108	19426336.03
109	19392684.1
110	19358393.75
111	19295560.38
112	19261484.75
113	19229033.58
114	19195748.75
115	19164614.49
116	19130664.14
117	19090854.31
118	19056930.11
119	19021157.07
120	18990291.27
121	18930853.47
122	18891978.48
123	18834079.48
124	18799923.24
125	18760559.61
126	18728448.09
127	18695769.24
128	18661980.46
129	18627566.89
130	18595157.57
131	18552501.86
132	18490188.71
133	18452499.34
134	18422239.71
135	18332764.91
136	18295778.98
137	18263441.83
138	18232068.8
139	18202810.99
140	18165972.95
141	18124491.45
142	18086951.69
143	18046400.68
144	18014379.76
145	17950595.57
146	17919253.81
147	17883631.16
148	17847279.34
149	17814265.64
150	17734361.98
151	17703915.4
152	17673028.63
153	17634884.59
154	17604498.96
155	17572151.59
156	17538716.75
157	17503215.04
158	17471713.02
159	17441483.9
160	17350633.95
161	17321139.57
162	17291830.39
163	17262556.95
164	17228442.02
165	17199571.86
166	17168823.65
167	17139651.31
168	17110767.32
169	17080499.41
170	17049881.89
171	17019332.84
172	16990319.12
173	16961970.73
174	16928146.74
175	16899953.64
176	16867236.04
177	16839230.36
178	16811320.93
179	16783507.16
180	16755769.48
181	16728427.42
182	16700899.97
183	16673470.62
184	16644415.71
185	16615424.43
186	16586884.68
187	16560090.63
188	16533076.13
189	16506172.87
190	16479641.55
191	16453196.44
192	16426846.68
193	16394997.21
194	16363468.96
195	16337056.86
196	16311012.18
197	16222282.78
198	16128625.99
199	16040603.52
200	16012880.43
201	15987261.66
202	15959266.41
203	15931935.21
204	15839291.88
205	15813349.94
206	15788124.85
207	15701865.61
208	15619519.41
209	15536034.72
210	15449041.51
211	15364998.75
212	15265207.04
213	15195330.01
214	15068840.16
215	15038798.8
216	14959214.42
217	14929461.59
218	14899815.21
219	14870274.84
220	14802235.2
221	14751826.73
222	14652651.98
223	14623652.65
224	14558060.19
225	14478419.51
226	14429372.8
227	14392329.46
228	14357302.05
229	14276841.23
230	14242438.67
231	14164745.39
232	14087419.46
233	14040860.86
234	14007573.45
235	13959866.8
236	13896634.05
237	13834321.14
238	13787761.54
239	13727663.53
240	13655810.59
241	13612316.19
242	13553443.66
243	13505372.87
244	13446094.71
245	13412926.88
246	13369263.24
247	13339723.97
248	13298216.1
249	13240737.58
250	13184032.31
251	13151904.13
252	13119931.09
253	13070637.58
254	13038996.44
255	12991534.25
256	12944587.71
257	12914687.2
258	12868222.19
259	12839171.06
260	12794232.52
261	12765424.3
262	12736747.29
263	12693829.76
264	12665797.57
265	12622157.3
266	12594541.82
267	12566692.96
268	12538548.12
269	12510468.7
270	12482962.95
271	12455588.95
272	12428130.44
273	12400828.21
274	12373550.31
275	12346395.63
276	12319362.01
277	12292447.41
278	12265649.96
279	12239445.45
280	12212865.98
281	12186427.89
282	12159673.1
283	12133465.08
284	12107366.58
285	12080936.27
286	12042674.32
287	12018757.33
288	11995036.94
289	11968654.77
290	11943569.65
291	11919708.65
292	11893797.6
293	11869403.95
294	11843529.59
295	11817815.71
296	11793011.44
297	11768254.02
298	11744682.17
299	11722494.77
300	11700031.79
301	11678042.69
302	11653798.28
303	11631326.29
304	11608971.33
305	11586730.63
306	11564919.64
307	11543725.12
308	11522628.59
309	11501627.59
310	11480719.82
311	11459903.22
312	11439175.86
313	11418535.99
314	11397982.01
315	11377512.42
316	11357125.85
317	11337287.06
318	11317050.86
319	11296922.21
320	11277744.48
321	11257759.06
322	11238226.71
323	11218769.56
324	11198979.04
325	11179259.93
326	11159611.74
327	11139614.95
328	11120731.72
329	11101275.89
330	11081889.49
331	11062940.74
332	11043626.39
333	11024514.12
334	11005728.89
335	10987507.46
336	10969357.15
337	10951277.18
338	10932328.49
339	10913831.35
340	10895394.11
341	10877553.61
342	10859230.68
343	10841512.57
344	10823534.91
345	10805617.16
346	10787523.59
347	10769488
348	10752215.75
349	10734526.17
350	10717368.26
351	10699790
352	10682745.18
353	10665632.46
354	10648707.13
355	10631852.65
356	10615039.8
357	10597779.8
358	10581444.48
359	10565157.96
360	10548932.7
361	10532762
362	10515765.77
363	10498824.95
364	10481939.32
365	10465108.71
366	10448332.9
367	10432431.83
368	10415761.05
369	10400002.34
370	10384296.28
371	10368658.44
372	10352174.99
373	10336621.76
374	10319931.75
375	10304478.63
376	10289098.7
377	10273770.27
378	10258486.43
379	10243237.9
380	10228040.06
381	10212907.8
382	10197810.71
383	10182763.76
384	10167766.77
385	10152819.58
386	10137042.44
387	10121398.46
388	10106594.51
389	10091855.2
390	10077164.77
391	10062508.01
392	10047900.19
393	10032673.09
394	10018160.95
395	10003697.1
396	9989278.499
397	9919264.704
398	9904902.464
399	9889726.341
400	9875458.875
401	9806779.602
402	9791493.225
403	9777318.68
404	9762365.477
405	9696484.309
406	9631906.75
407	9616852.769
408	9602048.965
409	9538646.262
410	9475264.601
411	9422762.113
412	9371419.215
413	9356273.745
414	9340222.9
415	9325217.39
416	9275376.32
417	9227132.671
418	9180001.643
419	9133069.978
420	9087137.429
421	9041757.44
422	8997443.461
423	8955966.022
424	8927901.186
425	8888395.668
426	8867412.082
427	8846540.142
428	8806767.457
429	8786233.086
430	8739946.225
431	8709716.934
432	8689654.582
433	8652074.629
434	8622796.451
435	8602909.992
436	8573507.945
437	8553474.666
438	8531953.358
439	8502741.403
440	8474339.182
441	8453384.465
442	8425552.264
443	8406531.636
444	8377097.688
445	8349286.403
446	8322662.194
447	8304208.203
448	8287227.408
449	8270553.766
450	8254368.262
451	8238317.25
452	8222335.886
453	8206423.193
454	8190471.792
455	8165145.683
456	8149421.495
457	8133763.765
458	8117422.75
459	8091782.2
460	8076297.468
461	8060877.603
462	8036342.706
463	8010871.047
464	7994464.833
465	7972790.208
466	7948617.094
467	7933501.814
468	7918520.586
469	7903527.966
470	7887672.346
471	7872157.553
472	7856456.222
473	7841716.701
474	7818069.516
475	7802378.952
476	7787801.326
477	7772742.034
478	7757826.842
479	7743181.933
480	7728406.995
481	7713282.355
482	7698834.282
483	7684410.855
484	7670087.587
485	7656042.941
486	7642135.233
487	7627989.851
488	7614141.227
489	7600355.137
490	7586531.663
491	7573255.026
492	7560046.279
493	7547005.676
494	7533921.882
495	7521001.267
496	7508140.245
497	7495485.403
498	7482821.338
499	7470335.307
500	7457947.776
501	7445618.281
502	7433345.341
503	7421380.728
504	7409473.265
505	7397621.384
506	7385615.953
507	7373660.039
508	7362211.375
509	7350351.062
510	7338537.862
511	7326975.554
512	7315189.729
513	7303452.892
514	7291820.288
515	7280175.925
516	7268578.779
517	7257028.3
518	7245523.975
519	7234256.817
520	7222521.67
521	7211272.59
522	7199932.822
523	7189164.401
524	7178440.3
525	7166895.379
526	7155394.871
527	7144784.337
528	7133362.658
529	7121984.776
530	7111124.594
531	7100662.955
532	7090242.362
533	7079754.861
534	7069412.318
535	7058246.655
536	7047867.371
537	7037531.758
538	7026990.411
539	7016418.512
540	7006213.122
541	6996005.085
542	6985841.077
543	6975768.825
544	6965675.996
545	6955803.802
546	6945963.761
547	6935785.824
548	6925600.959
549	6915709.43
550	6905958.684
551	6896135.798
552	6886471.991
553	6876688.223
554	6867092.577
555	6857503.053
556	6847847.97
557	6838161.438
558	6828607.377
559	6819460.865
560	6810064.614
561	6800701.98
562	6791394.273
563	6782119.143
564	6772876.436
565	6763666.007
566	6754487.714
567	6745336.226
568	6736221.574
569	6727058.113
570	6718002.615
571	6708942.829
572	6699859.129
573	6690900.599
574	6681935.541
575	6673039.085
576	6664137
577	6655551.426
578	6646735.967
579	6637883.252
580	6629139.1
581	6620425.453
582	6611671.287
583	6602983.822
584	6563114.241
585	6554477.687
586	6523208.302
587	6514372.056
588	6505731.15
589	6497090.369
590	6488350.703
591	6457010.444
592	6448308.719
593	6439637.562
594	6430809.491
595	6421872.026
596	6380071.562
597	6371558.138
598	6363006.631
599	6354486.452
600	6325997.745
601	6317393.343
602	6308640.712
603	6300157.22
604	6291769.995
605	6283403.231
606	6275146.637
607	6266849.339
608	6258574.071
609	6250269.601
610	6241957
611	6233720.113
612	6225573.114
613	6217500.807
614	6209411.934
615	6201289.692
616	6193317.444
617	6185276.456
618	6177502.697
619	6169551.532
620	6161779.96
621	6153945.78
622	6146083.408
623	6138201.514
624	6130366.127
625	6122462.237
626	6114934.737
627	6079506.029
628	6071652.668
629	6043669.64
630	6036023.913
631	6028239.263
632	6001045.75
633	5993423.16
634	5968349.628
635	5960485.614
636	5952931.045
637	5944664.741
638	5937043.4
639	5929349.282
640	5892702.452
641	5885256.979
642	5877566.167
643	5848535.84
644	5841156.572
645	5833694.716
646	5826261.821
647	5818716.678
648	5792904.58
649	5785621.511
650	5762876.561
651	5739949.386
652	5732714.282
653	5725050.51
654	5706250.775
655	5684180.964
656	5676435.913
657	5669289.407
658	5661747.41
659	5654640.608
660	5647401.389
661	5640385.015
662	5618828.833
663	5611419.469
664	5604466.509
665	5597548.478
666	5590664.406
667	5583369.212
668	5576032.914
669	5569235.094
670	5558934.891
671	5552177.896
672	5545452.647
673	5538758.421
674	5531707.612
675	5510278.268
676	5503042.924
677	5484990.352
678	5477746.444
679	5470775.868
680	5463806.383
681	5457271.383
682	5436971.588
683	5430079.675
684	5423215.4
685	5416480.611
686	5409690.458
687	5402722.225
688	5395964.209
689	5389620.276
690	5382913.282
691	5376251.285
692	5369984.097
693	5363807.204
694	5357320.039
695	5350856.931
696	5344292.96
697	5337799.165
698	5331330.324
699	5325130.573
700	5319054.675
701	5313028.214
702	5307083.514
703	5301101.877
704	5295179.117
705	5288714.973
706	5282848.078
707	5276401.019
708	5270578.64
709	5264184.181
710	5258405.699
711	5252487.665
712	5246524.202
713	5240865.348
714	5235066.822
715	5229241.983
716	5223486.936
717	5217682.943
718	5212047.845
719	5206415.368
720	5200615.1
721	5194843.021
722	5188691.738
723	5183026.582
724	5177376.567
725	5171755.178
726	5166157.537
727	5160566.584
728	5155011.761
729	5149763.144
730	5144293.915
731	5138705.375
732	5133231.873
733	5127771.301
734	5122457.091
735	5116951.041
736	5111083.531
737	5105815.696
738	5100591.694
739	5095374.582
740	5090211.813
741	5084996.9
742	5080002.83
743	5074809.297
744	5069709.66
745	5064463.995
746	5059327.591
747	5054118.242
748	5049102.729
749	5044094.362
750	5039113.322
751	5034079.102
752	5029131.219
753	5024197.081
754	5018661.068
755	5013768.656
756	5008660.806
757	5003786.91
758	4998945.718
759	4993967.773
760	4989144.305
761	4984145.418
762	4954525.12
763	4949742.227
764	4944856.509
765	4940009.575
766	4935253.527
767	4930436.423
768	4925772.731
769	4920888.245
770	4916102.694
771	4895857.034
772	4891110.905
773	4886405.644
774	4881877.024
775	4877194.419
776	4848239.494
777	4843579.308
778	4838842.485
779	4833777.232
780	4829258.982
781	4824658.261
782	4796532.81
783	4777722.045
784	4772768.222
785	4768318.651
786	4763716.38
787	4759202
788	4754318.082
789	4749454.333
790	4744610.594
791	4739786.712
792	4735315.926
793	4730528.934
794	4726120.715
795	4721350.101
796	4694586.168
797	4668311.805
798	4664065.388
799	4659472.603
800	4655031.83
801	4650397.046
802	4646090.511
803	4618906.671
804	4614334.939
805	4609984.654
806	4605346.801
807	4600707.623
808	4596204.678
809	4591680.807
810	4587507.353
811	4571125.795
812	4566786.773
813	4562441.345
814	4558113.571
815	4541581.836
816	4522870.252
817	4506808.058
818	4491631.159
819	4487352.758
820	4471848.967
821	4467653.412
822	4463049.816
823	4449585.846
824	4436256.238
825	4414972.121
826	4402049.767
827	4397390.312
828	4379645.947
829	4375014.232
830	4362051.877
831	4342205.74
832	4329953.755
833	4312208.427
834	4289247.031
835	4271127
836	4266340.475
837	4261609.98
838	4250030.202
839	4238609.017
840	4226608.706
841	4216704.563
842	4205779.899
843	4194834.801
844	4184009.126
845	4170640.164
846	4165862.727
847	4155382.888
848	4146587.285
849	4136262.598
850	4129099.563
851	4118866.333
852	4107740.887
853	4096617.419
854	4087450.202
855	4078581.482
856	4068192.458
857	4061082.285
858	4050786.467
859	4040298.224
860	4026590.089
861	4020108.886
862	4004884.921
863	3998454.82
864	3992301.495
865	3987278.849
866	3982337.986
867	3977538.116
868	3971638.915
869	3966436.249
870	3961573.941
871	3956790.477
872	3952371.601
873	3947440.152
874	3942746.937
875	3938368.872
876	3933708.025
877	3929629.584
878	3925587.525
879	3921415.118
880	3917046.455
881	3913101.503
882	3909278.25
883	3905464.883
884	3901509.895
885	3897632.108
886	3893406.618
887	3889680.091
888	3885870.841
889	3882230.192
890	3878617.258
891	3874781.324
892	3871163.274
893	3867463.674
894	3863869.747
895	3860266.484
896	3856736.336
897	3853375.781
898	3849855.658
899	3846577.835
900	3843096.543
901	3839508.043
902	3836080.388
903	3832699.134
904	3829404.172
905	3826214.984
906	3822920.641
907	3819718.871
908	3816401.935
909	3813178.314
910	3809919.128
911	3806725.704
912	3803430.576
913	3800350.907
914	3797311.616
915	3793974.241
916	3790652.991
917	3787740.132
918	3784627.888
919	3781424.98
920	3778448.656
921	3775196.795
922	3772345.156
923	3769337.123
924	3766515.475
925	3763603.693
926	3760828.837
927	3757941.259
928	3754940.393
929	3752171.017
930	3749443.476
931	3746682.043
932	3743949.577
933	3741212.174
934	3738532.125
935	3735994.366
936	3733334.161
937	3730817.829
938	3727981.541
939	3725312.501
940	3722655.34
941	3719909.188
942	3717293.071
943	3714682.456
944	3712139.912
945	3709650.405
946	3707111.535
947	3704427.78
948	3701947.926
949	3699410.772
950	3696724.109
951	3694083.398
952	3691479.595
953	3688861.527
954	3686250.139
955	3683481.908
956	3680882.21
957	3678464.082
958	3675983.729
959	3673429.546
960	3670890.893
961	3668481.261
962	3666046.287
963	3663626.456
964	3661368.511
965	3659063.266
966	3656776.66
967	3654384.164
968	3652050.387
969	3649739.919
970	3647530.445
971	3645347.644
972	3643118.285
973	3640841.332
974	3638563.65
975	3636159.509
976	3633767.159
977	3631583.598
978	3629302.223
979	3627181.215
980	3624779.824
981	3622405.738
982	3620068.738
983	3617972.424
984	3615753.758
985	3613695.338
986	3611491.119
987	3609193.434
988	3606893.355
989	3604815.825
990	3602552.893
991	3600301.182
992	3598143.068
993	3596102.745
994	3594086.389
995	3591870.522
996	3589638.95
997	3587510.167
998	3585386.442
999	3583426.444
1000	3581341.639
1001	3562725.45
1002	3560567.334
1003	3558505.962
1004	3556211.911
1005	3554095.668
1006	3551924.111
1007	3549821.547
1008	3533801.171
1009	3531796.822
1010	3529718.265
1011	3527728.723
1012	3525508.025
1013	3523587.967
1014	3507371.48
1015	3505235.796
1016	3503124.185
1017	3501174.52
1018	3499003.101
1019	3497077.536
1020	3483398.779
1021	3481479.25
1022	3479435.682
1023	3477660.271
1024	3475759.826
1025	3473742.546
1026	3471946.131
1027	3470002.862
1028	3456747.491
1029	3454890.362
1030	3453043.128
1031	3450814.03
1032	3433625.84
